31.214.141.50,<mcstatus.pinger.PingResponse.Version object at 0x7f0f4cf99cd0>,A Minecraft Server,
77.57.24.173,<mcstatus.pinger.PingResponse.Version object at 0x7f2b8c8e0090>,Bergwelt
45.35.104.25,<mcstatus.pinger.PingResponse.Version object at 0x7feace597810>,"§e§l                 Minecraft Ecuador
§a§lSurvival 1.17.1§5§l   Casino Mobs Op§b§l   Guarda Inventario y mas"
47.34.54.127,1.20.1,A Minecraft Server
141.148.226.57,1.12.2,nomi-ceu Server,2023-06-19 23:20:56.400615
162.33.28.50,1.20,A Minecraft Server,2023-06-19 23:20:56.436904
158.62.203.69,1.18.2,A Minecraft Server,2023-06-19 23:34:15.021533
157.90.0.143,Spigot 1.18.2,A Minecraft Server,2023-06-19 23:34:15.040013
173.237.51.121,1.16.5,Hosted by Nodecraft.com,2023-06-19 23:55:40.871091
36.2.145.80,"Waterfall 1.8.x, 1.9.x, 1.10.x, 1.11.x, 1.12.x, 1.13.x, 1.14.x, 1.15.x, 1.16.x, 1.17.x, 1.18.x, 1.19.x, 1.20.x","§dShiroganeSora §5HUB §cSERVER§f
§fPaper 1.20 §9RAM:1GB §bLAN:1GbE",2023-06-19 23:55:40.872562
85.25.211.14,Paper 1.20.1,A Minecraft Server,2023-06-20 00:14:12.777317
167.114.111.13,1.19.4,A Minecraft Server,2023-06-20 00:14:12.778892
167.114.194.190,1.10.2,A Minecraft Server,2023-06-20 00:14:12.818562
104.2.109.239,1.12.2,Welcome to Minecraft!,2023-06-20 00:20:03.557130
95.42.48.186,1.20.1,A Minecraft Server,2023-06-20 00:20:03.642504
160.251.170.19,1.19.4,A Minecraft Server,2023-06-20 00:20:03.642548
134.175.223.228,1.15.2,A Minecraft Server,2023-06-20 00:22:52.953208
50.20.205.144,1.12.2,A Minecraft Server,2023-06-20 00:22:52.965365
45.9.60.185,Spigot 1.19.4,A Minecraft Server,2023-06-20 00:22:52.972292
118.211.126.174,1.20.1,A Minecraft Server for all,2023-06-20 00:25:43.486958
150.136.45.42,1.19.4,A Minecraft Server,2023-06-20 00:25:43.487434
158.62.204.83,1.7.10,A Minecraft Server,2023-06-20 00:25:43.488519
85.214.68.21,Spigot 1.11.2,Gutzeit Systems MC #ihihgd,2023-06-20 00:25:43.491863
